#,Kind,Subtype,Orientation,Closest entrance,Building,Floor,Room,Latitude,Longitude,Notes,Closest stair,Closest elevator,Direction from connector,Date,Time,Timestamp
1,room,,,,Dyson,1,1001,41.72422067329533,-73.93345556317273,,B,Elevator,,17 Apr 2026,23:54:35,2026-04-18T03:54:35.693Z
2,entrance,,W,,Dyson,1,Side,41.72426277383728,-73.93347257566593,,,,,17 Apr 2026,23:54:53,2026-04-18T03:54:53.322Z
3,room,,,Side (W),Dyson,1,1002,41.72417882945264,-73.93348866892002,,B,Elevator,,17 Apr 2026,23:55:10,2026-04-18T03:55:10.768Z
4,room,,,Side (W),Dyson,1,1034,41.72431982921799,-73.93316903711336,,B,Elevator,,17 Apr 2026,23:55:58,2026-04-18T03:55:58.897Z
5,room,,,Side (W),Dyson,1,1035,41.72436553679199,-73.93325273694002,,B,Elevator,,17 Apr 2026,23:56:28,2026-04-18T03:56:28.095Z
6,room,,,Side (W),Dyson,1,1036,41.72432287638041,-73.933305814835,,B,Elevator,,17 Apr 2026,23:56:37,2026-04-18T03:56:37.875Z
7,connector,stairs,,Side,Dyson,1–4,B,41.72430792577146,-73.93334597341597,,,,,17 Apr 2026,23:57:33,2026-04-18T03:57:33.705Z
8,room,,,Side (W),Dyson,1,1004,41.72414564606857,-73.93339909609801,,B,Elevator,,17 Apr 2026,23:58:29,2026-04-18T03:58:29.592Z
9,room,,,Side (W),Dyson,1,1003,41.72409232031376,-73.93333989376764,,B,Elevator,,17 Apr 2026,23:58:42,2026-04-18T03:58:42.473Z
10,room,,,Side (W),Dyson,1,1008,41.72400197268962,-73.93316438792561,,A,Elevator,,17 Apr 2026,23:59:22,2026-04-18T03:59:22.341Z
11,room,,,Side (W),Dyson,1,1010,41.723770385860185,-73.93303169302462,,A,Elevator,,17 Apr 2026,23:59:54,2026-04-18T03:59:54.609Z
12,connector,elevator,,NE,Dyson,1–4,Elevator,41.72391538167599,-73.93298256399792,,,,,18 Apr 2026,00:00:21,2026-04-18T04:00:21.733Z
13,entrance,,NE,,Dyson,1,NE,41.72383593896274,-73.93286074695973,,,,,18 Apr 2026,00:00:43,2026-04-18T04:00:43.068Z
14,room,,,NE (NE),Dyson,1,1016,41.72394897035939,-73.93280477826735,,A,Elevator,,18 Apr 2026,00:01:33,2026-04-18T04:01:33.428Z
15,connector,stairs,,NE,Dyson,1–4,A,41.723913287611225,-73.93283279238074,,,,,18 Apr 2026,00:02:50,2026-04-18T04:02:50.652Z
16,room,,,NE (NE),Dyson,2,2015,41.723826974703364,-73.93295148018414,,A,Elevator,,18 Apr 2026,00:04:44,2026-04-18T04:04:44.065Z
17,room,,,NE (NE),Dyson,2,2014,41.72379023092046,-73.93297255039217,,A,Elevator,,18 Apr 2026,00:05:01,2026-04-18T04:05:01.177Z
18,room,,,NE (NE),Dyson,2,2011,41.72383593890173,-73.93302154538472,,A,Elevator,,18 Apr 2026,00:05:26,2026-04-18T04:05:26.959Z
19,room,,,Side (W),Dyson,2,2009,41.724029435604265,-73.93323998144095,,B,Elevator,,18 Apr 2026,00:05:45,2026-04-18T04:05:45.843Z
20,room,,,Side (W),Dyson,2,2007,41.72406447830506,-73.93329305933592,,B,Elevator,,18 Apr 2026,00:06:10,2026-04-18T04:06:10.040Z
