#,Kind,Subtype,Orientation,Closest entrance,Building,Floor,Room,Latitude,Longitude,Notes,Closest stair,Closest elevator,Direction from connector,Connections,Date,Time,Timestamp
1,entrance,,S,,Hancock,0,Basement South Entrance,41.72259235409635,-73.9348927802392,,,,,,"Apr 17, 2026",08:57:18 PM,2026-04-18T00:57:18.743Z
2,connector,stairs,,Basement South Entrance,Hancock,0–3,Stair 2,41.72263877550813,-73.93491454038374,,,,,,"Apr 17, 2026",08:57:56 PM,2026-04-18T00:57:56.323Z
3,room,,,Basement South Entrance,Hancock,0,0006,41.72265864658223,-73.93483494253104,,Stair 2,Elevator,,,"Apr 17, 2026",08:58:43 PM,2026-04-18T00:58:43.878Z
4,room,,,Cafe Door,Hancock,0,0005,41.722663835281566,-73.93475538228371,,Stair 2,Elevator,,,"Apr 17, 2026",08:59:10 PM,2026-04-18T00:59:10.183Z
5,room,,,Cafe Door,Hancock,0,0004,41.72266960050294,-73.9346719598879,,Main Stairs,Elevator,,,"Apr 17, 2026",08:59:38 PM,2026-04-18T00:59:38.249Z
6,room,,,Hallway Door 2,Hancock,0,0018,41.72289911608931,-73.93448853623546,,Stair 3,Elevator,,,"Apr 17, 2026",09:00:34 PM,2026-04-18T01:00:34.345Z
7,connector,stairs,,S3 W,Hancock,0–3,Stair 3,41.7231025626148,-73.93462204087683,,,,,,"Apr 17, 2026",09:01:16 PM,2026-04-18T01:01:16.175Z
8,entrance,,W,,Hancock,1,S3 W,41.72308930269514,-73.93466375207474,,,,,,"Apr 17, 2026",09:02:27 PM,2026-04-18T01:02:27.511Z
9,entrance,,W,,Hancock,1,Hallway Door 2,41.72296074348793,-73.93459857908286,,,,,,"Apr 17, 2026",09:03:10 PM,2026-04-18T01:03:10.282Z
10,entrance,,W,,Hancock,1,Hallway Door 2,41.722840827328184,-73.93457926834284,,,,,,"Apr 17, 2026",09:03:38 PM,2026-04-18T01:03:38.653Z
11,room,,,Hallway Door 2,Hancock,1,1021,41.722901981104116,-73.93448149882441,,Stair 3,Elevator,,,"Apr 17, 2026",09:04:23 PM,2026-04-18T01:04:23.583Z
12,entrance,,N,,Hancock,1,Cafe Door,41.722724570406484,-73.93461916763972,,,,,,"Apr 17, 2026",09:05:12 PM,2026-04-18T01:05:12.101Z
13,entrance,,E,,Hancock,1,Main Entrance,41.722679227457235,-73.93442646889584,,,,,,"Apr 17, 2026",09:05:40 PM,2026-04-18T01:05:40.594Z
14,connector,stairs,,Main Entrance,Hancock,0–3,Main Stairs,41.72265775727297,-73.93446759767235,,,,,,"Apr 17, 2026",09:06:17 PM,2026-04-18T01:06:17.203Z
15,connector,elevator,,Main Entrance,Hancock,0–3,Elevator,41.722721157759324,-73.93444105982782,,,,,,"Apr 17, 2026",09:06:49 PM,2026-04-18T01:06:49.831Z
16,room,,,Main Entrance,Hancock,2,2016 - Conference Room,41.722676478302105,-73.93444488561528,,Main Stairs,Elevator,,,"Apr 17, 2026",09:08:29 PM,2026-04-18T01:08:29.661Z
17,room,,,Main Entrance,Hancock,2,2005,41.72268833899915,-73.93453682905192,,Main Stairs,Elevator,,,"Apr 17, 2026",09:08:47 PM,2026-04-18T01:08:47.726Z
18,room,,,Main Entrance,Hancock,2,2017/2018,41.72279375146363,-73.93447191722426,,Main Stairs,Elevator,,,"Apr 17, 2026",09:09:40 PM,2026-04-18T01:09:40.662Z
19,room,,,Main Entrance,Hancock,2,2019,41.72284506180819,-73.93448195880903,,Main Stairs,Elevator,,,"Apr 17, 2026",09:10:07 PM,2026-04-18T01:10:07.568Z
20,room,,,Main Entrance,Hancock,2,2020,41.72289052104267,-73.93448853623546,,Main Stairs,Elevator,,,"Apr 17, 2026",09:10:21 PM,2026-04-18T01:10:21.937Z
21,room,,,S3 W,Hancock,2,2023/2027,41.722969308927105,-73.93449109529404,,Stair 3,Elevator,,,"Apr 17, 2026",09:10:39 PM,2026-04-18T01:10:39.873Z
22,hallway,,,,Hancock,*,H1,41.722641289105354,-73.93487289018188,,,,,H2,18 Apr 2026,16:39:41,2026-04-18T20:39:41.411Z
23,hallway,,,,Hancock,*,H2,41.72266325875751,-73.93449121136969,,,,,"H1,H3",18 Apr 2026,16:39:45,2026-04-18T20:39:45.736Z
24,hallway,,,,Hancock,*,H3,41.72311017187354,-73.93455571152032,,,,,H2,18 Apr 2026,16:39:51,2026-04-18T20:39:51.430Z
